,TF,Target,Label
3738,43,809,1
4014,43,445,1
3990,43,784,1
4206,43,119,1
4235,43,100,1
3825,43,602,1
3796,43,811,1
3741,43,376,1
3897,43,374,1
4290,43,268,1
3720,43,721,1
4172,43,497,1
4294,43,284,1
4254,43,785,1
4267,43,621,1
4065,43,310,1
3840,43,313,1
4160,43,610,1
3719,43,427,1
3694,43,212,1
3998,43,217,1
3892,43,572,1
4269,43,887,1
3830,43,202,1
3774,43,803,1
3734,43,651,1
3928,43,759,1
4224,43,829,1
4142,43,223,1
4397,43,728,1
3706,43,514,1
4063,43,338,1
3872,43,504,1
3916,43,664,1
4175,43,892,1
4105,43,668,1
3699,43,108,1
4277,43,431,1
4195,43,209,1
3862,43,483,1
3921,43,507,1
3822,43,730,1
3843,43,489,1
4285,43,128,1
4101,43,574,1
4132,43,405,1
4383,43,392,1
4298,43,147,1
4344,43,764,1
3937,43,420,1
3945,43,211,1
4109,43,312,1
3757,43,423,1
4143,43,859,1
3893,43,716,1
4049,43,715,1
3875,43,40,1
3929,43,357,1
3919,43,273,1
3966,43,762,1
3923,43,465,1
3917,43,635,1
4180,43,790,1
3889,43,366,1
4332,43,399,1
3789,43,81,1
3792,43,767,1
4307,43,597,1
4372,43,260,1
4233,43,49,1
4099,43,449,1
3808,43,240,1
3932,43,71,1
4403,43,297,1
4131,43,232,1
3726,43,485,1
4349,43,659,1
3925,43,643,1
3781,43,450,1
4355,43,726,1
3687,43,831,1
4300,43,379,1
4201,43,577,1
3794,43,533,1
3815,43,422,1
4178,43,857,1
4118,43,737,1
4234,43,833,1
4023,43,712,1
4133,43,21,1
3800,43,136,1
3729,43,9,1
4047,43,858,1
4209,43,591,1
3869,43,584,1
3771,43,248,1
3728,43,105,1
4232,43,425,1
4008,43,249,1
3782,43,570,1
3900,43,372,1
3845,43,869,1
4317,43,679,1
3713,43,579,1
4113,43,238,1
3717,43,708,1
3703,43,854,1
4027,43,31,1
3832,43,373,1
3816,43,639,1
3759,43,527,1
3803,43,592,1
4256,43,39,1
3725,43,82,1
4386,43,705,1
4189,43,36,1
13209,43,354,0
13207,43,352,0
13177,43,725,0
13219,43,394,0
13178,43,729,0
13154,43,148,0
13115,43,14,0
13174,43,199,0
13169,43,181,0
13145,43,642,0
13153,43,657,0
13191,43,792,0
13212,43,875,0
13162,43,676,0
13180,43,745,0
13213,43,878,0
13138,43,113,0
13225,43,461,0
13121,43,42,0
13120,43,34,0
13201,43,326,0
13143,43,640,0
13176,43,713,0
13156,43,150,0
13158,43,663,0
13175,43,711,0
13117,43,26,0
13168,43,179,0
13159,43,158,0
13184,43,257,0
13129,43,90,0
13119,43,543,0
13167,43,689,0
13147,43,134,0
13223,43,441,0
13130,43,604,0
13183,43,254,0
13218,43,903,0
13149,43,137,0
13182,43,247,0
13211,43,362,0
13186,43,261,0
13166,43,176,0
13227,43,492,0
13193,43,798,0
13214,43,367,0
13136,43,106,0
13157,43,662,0
13137,43,112,0
13198,43,309,0
13196,43,818,0
13123,43,54,0
13155,43,149,0
13141,43,633,0
13134,43,103,0
13124,43,573,0
13131,43,97,0
13125,43,74,0
13114,43,524,0
13171,43,195,0
13216,43,890,0
13139,43,628,0
13187,43,266,0
13221,43,428,0
13224,43,460,0
13116,43,536,0
13146,43,645,0
13222,43,433,0
13181,43,242,0
13142,43,637,0
13128,43,600,0
13192,43,286,0
13206,43,351,0
13165,43,686,0
13122,43,51,0
13170,43,703,0
13188,43,271,0
13127,43,596,0
13112,43,1,0
13150,43,650,0
13126,43,595,0
13203,43,855,0
13163,43,682,0
13190,43,277,0
13148,43,646,0
13132,43,611,0
13202,43,851,0
13161,43,674,0
13173,43,709,0
13144,43,129,0
13164,43,172,0
13179,43,218,0
13215,43,880,0
13113,43,520,0
13200,43,837,0
13197,43,307,0
13226,43,477,0
13217,43,898,0
13160,43,161,0
13204,43,348,0
13133,43,614,0
13135,43,617,0
13152,43,140,0
13185,43,769,0
13208,43,353,0
13205,43,350,0
13220,43,421,0
13151,43,139,0
13210,43,870,0
13189,43,783,0
13199,43,821,0
13195,43,816,0
13140,43,118,0
13172,43,196,0
13118,43,541,0
13194,43,807,0
10,297,711,1
13,297,796,1
6,297,151,1
11,297,733,1
1,297,424,1
12,297,168,1
